
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.41     0.00    -0.02     0.00    -0.05     0.00     1.75    -1.75    -0.12     0.00    -0.25     0.30    12.72     0.00
     0.00 -1000.00     0.00    -0.41     0.00     0.02     0.00     0.06     0.00     1.75    -1.75     0.12     0.00    -0.35     0.30   -14.97     0.00
     0.00     0.00  1000.00     0.00     0.41     0.00     0.02     0.00    -0.05     1.75    -1.75     0.00    -0.12    -0.30     0.25     0.00    12.72
     0.00     0.00 -1000.00     0.00    -0.41     0.00    -0.02     0.00     0.06     1.75    -1.75     0.00     0.12    -0.30     0.35     0.00   -14.97
     5.00  1000.00     0.00     0.32    -0.10     0.40    -0.42     4.88     4.99     1.79    -1.79     0.49     0.62    -0.26     0.31    26.30     0.00
     5.00 -1000.00     0.00    -0.53    -0.10     0.44    -0.42     5.10     4.99     1.78    -1.79     0.76     0.62    -0.36     0.31   -28.93     0.00
     5.00     0.00  1000.00    -0.10     0.32     0.42    -0.40     4.99     4.88     1.79    -1.79     0.62     0.49    -0.31     0.26     0.00    26.30
     5.00     0.00 -1000.00    -0.10    -0.53     0.42    -0.44     4.99     5.10     1.79    -1.78     0.62     0.76    -0.31     0.36     0.00   -28.93
    10.00  1000.00     0.00     0.16    -0.28     0.71    -0.73     9.81     9.96     1.84    -1.83     1.09     1.24    -0.27     0.32    39.28     0.00
    10.00 -1000.00     0.00    -0.72    -0.28     0.75    -0.73    10.12     9.96     1.83    -1.83     1.40     1.24    -0.37     0.32   -42.25     0.00
    10.00     0.00  1000.00    -0.28     0.16     0.73    -0.71     9.96     9.81     1.83    -1.84     1.24     1.09    -0.32     0.27     0.00    39.28
    10.00     0.00 -1000.00    -0.28    -0.72     0.73    -0.75     9.96    10.12     1.83    -1.83     1.24     1.40    -0.32     0.37     0.00   -42.25
    15.00  1000.00     0.00    -0.06    -0.51     0.91    -0.92    14.72    14.91     1.89    -1.89     1.69     1.85    -0.28     0.33    51.75     0.00
    15.00 -1000.00     0.00    -0.97    -0.51     0.94    -0.92    15.13    14.91     1.88    -1.89     2.02     1.85    -0.38     0.33   -55.01     0.00
    15.00     0.00  1000.00    -0.51    -0.06     0.92    -0.91    14.91    14.72     1.89    -1.89     1.85     1.69    -0.33     0.28     0.00    51.75
    15.00     0.00 -1000.00    -0.51    -0.97     0.92    -0.94    14.91    15.13     1.89    -1.88     1.85     2.02    -0.33     0.38     0.00   -55.01
    20.00  1000.00     0.00    -0.34    -0.81     1.00    -1.01    19.61    19.85     1.96    -1.95     2.28     2.46    -0.29     0.34    63.77     0.00
    20.00 -1000.00     0.00    -1.29    -0.81     1.02    -1.01    20.11    19.85     1.94    -1.95     2.64     2.46    -0.38     0.34   -67.28     0.00
    20.00     0.00  1000.00    -0.81    -0.34     1.01    -1.00    19.85    19.61     1.95    -1.96     2.46     2.28    -0.34     0.29     0.00    63.77
    20.00     0.00 -1000.00    -0.81    -1.29     1.01    -1.02    19.85    20.11     1.95    -1.94     2.46     2.64    -0.34     0.38     0.00   -67.28
    25.00  1000.00     0.00    -0.69    -1.17     0.99    -0.99    24.49    24.78     2.03    -2.02     2.88     3.06    -0.30     0.34    75.40     0.00
    25.00 -1000.00     0.00    -1.66    -1.17     0.99    -0.99    25.07    24.78     2.01    -2.02     3.25     3.06    -0.38     0.34   -79.15     0.00
    25.00     0.00  1000.00    -1.17    -0.69     0.99    -0.99    24.78    24.49     2.02    -2.03     3.06     2.88    -0.34     0.30     0.00    75.40
