
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.02     0.00     0.06     0.00     0.38     0.00     1.75    -1.75     0.06     0.00    -0.32     0.30   -94.35     0.00
     0.00 -1000.00     0.00     0.02     0.00    -0.07     0.00    -0.40     0.00     1.75    -1.75    -0.06     0.00    -0.28     0.30    98.10     0.00
     0.00     0.00  1000.00     0.00     0.02     0.00     0.07     0.00    -0.40     1.75    -1.75     0.00    -0.06    -0.30     0.28     0.00    98.10
     0.00     0.00 -1000.00     0.00    -0.02     0.00    -0.06     0.00     0.38     1.75    -1.75     0.00     0.06    -0.30     0.32     0.00   -94.35
     5.00  1000.00     0.00    -0.12    -0.10     0.47    -0.42     5.28     4.99     1.79    -1.79     0.67     0.62    -0.33     0.31   -71.31     0.00
     5.00 -1000.00     0.00    -0.09    -0.10     0.37    -0.42     4.69     4.99     1.78    -1.79     0.58     0.62    -0.29     0.31    74.01     0.00
     5.00     0.00  1000.00    -0.10    -0.09     0.42    -0.37     4.99     4.69     1.79    -1.78     0.62     0.58    -0.31     0.29     0.00    74.01
     5.00     0.00 -1000.00    -0.10    -0.12     0.42    -0.47     4.99     5.28     1.79    -1.79     0.62     0.67    -0.31     0.33     0.00   -71.31
    10.00  1000.00     0.00    -0.29    -0.28     0.77    -0.73    10.16     9.96     1.84    -1.83     1.27     1.24    -0.34     0.32   -49.01     0.00
    10.00 -1000.00     0.00    -0.26    -0.28     0.69    -0.73     9.75     9.96     1.83    -1.83     1.21     1.24    -0.30     0.32    50.78     0.00
    10.00     0.00  1000.00    -0.28    -0.26     0.73    -0.69     9.96     9.75     1.83    -1.83     1.24     1.21    -0.32     0.30     0.00    50.78
    10.00     0.00 -1000.00    -0.28    -0.29     0.73    -0.77     9.96    10.16     1.83    -1.84     1.24     1.27    -0.32     0.34     0.00   -49.01
    15.00  1000.00     0.00    -0.53    -0.51     0.96    -0.92    15.02    14.91     1.89    -1.89     1.87     1.85    -0.35     0.33   -27.34     0.00
    15.00 -1000.00     0.00    -0.50    -0.51     0.89    -0.92    14.80    14.91     1.88    -1.89     1.84     1.85    -0.31     0.33    28.27     0.00
    15.00     0.00  1000.00    -0.51    -0.50     0.92    -0.89    14.91    14.80     1.89    -1.88     1.85     1.84    -0.33     0.31     0.00    28.27
    15.00     0.00 -1000.00    -0.51    -0.53     0.92    -0.96    14.91    15.02     1.89    -1.89     1.85     1.87    -0.33     0.35     0.00   -27.34
    20.00  1000.00     0.00    -0.82    -0.81     1.04    -1.01    19.88    19.85     1.95    -1.95     2.46     2.46    -0.36     0.34    -6.20     0.00
    20.00 -1000.00     0.00    -0.80    -0.81     0.98    -1.01    19.83    19.85     1.94    -1.95     2.46     2.46    -0.32     0.34     6.36     0.00
    20.00     0.00  1000.00    -0.81    -0.80     1.01    -0.98    19.85    19.83     1.95    -1.94     2.46     2.46    -0.34     0.32     0.00     6.36
    20.00     0.00 -1000.00    -0.81    -0.82     1.01    -1.04    19.85    19.88     1.95    -1.95     2.46     2.46    -0.34     0.36     0.00    -6.20
    25.00  1000.00     0.00    -1.17    -1.17     1.02    -0.99    24.72    24.78     2.02    -2.02     3.06     3.06    -0.36     0.34    14.49     0.00
    25.00 -1000.00     0.00    -1.17    -1.17     0.96    -0.99    24.84    24.78     2.01    -2.02     3.07     3.06    -0.32     0.34   -15.06     0.00
    25.00     0.00  1000.00    -1.17    -1.17     0.99    -0.96    24.78    24.84     2.02    -2.01     3.06     3.07    -0.34     0.32     0.00   -15.06
