
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.08     0.00     0.35     0.00     4.05     0.00     1.78    -1.75     0.50     0.00    -0.31     0.30  -994.47     0.00
     0.00 -1000.00     0.00     0.04     0.00    -0.43     0.00    -4.10     0.00     1.73    -1.75    -0.53     0.00    -0.29     0.30  1004.19     0.00
     0.00     0.00  1000.00     0.00    -0.08     0.00    -0.35     0.00     4.05     1.75    -1.78     0.00     0.50    -0.30     0.31     0.00  -994.47
     0.00     0.00 -1000.00     0.00     0.04     0.00     0.43     0.00    -4.10     1.75    -1.73     0.00    -0.53    -0.30     0.29     0.00  1004.19
     5.00  1000.00     0.00    -0.23    -0.10     0.68    -0.42     9.00     4.99     1.82    -1.79     1.11     0.62    -0.32     0.31  -988.91     0.00
     5.00 -1000.00     0.00    -0.01    -0.10     0.09    -0.42     0.93     4.99     1.76    -1.79     0.12     0.62    -0.30     0.31   998.05     0.00
     5.00     0.00  1000.00    -0.10    -0.23     0.42    -0.68     4.99     9.00     1.79    -1.82     0.62     1.11    -0.31     0.32     0.00  -988.91
     5.00     0.00 -1000.00    -0.10    -0.01     0.42    -0.09     4.99     0.93     1.79    -1.76     0.62     0.12    -0.31     0.30     0.00   998.05
    10.00  1000.00     0.00    -0.45    -0.28     0.89    -0.73    13.94     9.96     1.87    -1.83     1.71     1.24    -0.32     0.32  -983.52     0.00
    10.00 -1000.00     0.00    -0.14    -0.28     0.49    -0.73     5.93     9.96     1.79    -1.83     0.75     1.24    -0.32     0.32   992.14     0.00
    10.00     0.00  1000.00    -0.28    -0.45     0.73    -0.89     9.96    13.94     1.83    -1.87     1.24     1.71    -0.32     0.32     0.00  -983.52
    10.00     0.00 -1000.00    -0.28    -0.14     0.73    -0.49     9.96     5.93     1.83    -1.79     1.24     0.75    -0.32     0.32     0.00   992.14
    15.00  1000.00     0.00    -0.72    -0.51     1.00    -0.92    18.86    14.91     1.93    -1.89     2.30     1.85    -0.33     0.33  -978.28     0.00
    15.00 -1000.00     0.00    -0.33    -0.51     0.78    -0.92    10.92    14.91     1.84    -1.89     1.38     1.85    -0.33     0.33   986.44     0.00
    15.00     0.00  1000.00    -0.51    -0.72     0.92    -1.00    14.91    18.86     1.89    -1.93     1.85     2.30    -0.33     0.33     0.00  -978.28
    15.00     0.00 -1000.00    -0.51    -0.33     0.92    -0.78    14.91    10.92     1.89    -1.84     1.85     1.38    -0.33     0.33     0.00   986.44
    20.00  1000.00     0.00    -1.06    -0.81     1.00    -1.01    23.77    19.85     2.00    -1.95     2.90     2.46    -0.34     0.34  -973.16     0.00
    20.00 -1000.00     0.00    -0.59    -0.81     0.95    -1.01    15.90    19.85     1.90    -1.95     2.01     2.46    -0.34     0.34   980.92     0.00
    20.00     0.00  1000.00    -0.81    -1.06     1.01    -1.00    19.85    23.77     1.95    -2.00     2.46     2.90    -0.34     0.34     0.00  -973.16
    20.00     0.00 -1000.00    -0.81    -0.59     1.01    -0.95    19.85    15.90     1.95    -1.90     2.46     2.01    -0.34     0.34     0.00   980.92
    25.00  1000.00     0.00    -1.46    -1.17     0.90    -0.99    28.66    24.78     2.08    -2.02     3.49     3.06    -0.34     0.34  -968.17     0.00
    25.00 -1000.00     0.00    -0.91    -1.17     1.01    -0.99    20.85    24.78     1.96    -2.02     2.62     3.06    -0.34     0.34   975.57     0.00
    25.00     0.00  1000.00    -1.17    -1.46     0.99    -0.90    24.78    28.66     2.02    -2.08     3.06     3.49    -0.34     0.34     0.00  -968.17
