
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    18.00    -1.75     0.00     0.00     0.00    49.92    49.92     0.00    63.19  -128.95    23.33    -0.71     0.00
     5.00    18.68    -1.79     1.14     0.10     0.00    49.92    44.92     0.00    62.94  -129.28    23.38    -5.05    -1.04
    10.00    19.28    -1.83     2.13     0.28     0.00    49.83    39.80     0.00    62.67  -129.52    23.46    -9.39    -2.07
    15.00    19.79    -1.89     2.97     0.51     0.00    49.64    34.58     0.00    62.39  -129.66    23.54   -13.72    -3.10
    20.00    20.19    -1.95     3.66     0.81     0.00    49.37    29.27     0.00    62.09  -129.71    23.64   -18.04    -4.11
    25.00    20.50    -2.02     4.19     1.17     0.00    49.01    23.86     0.00    61.78  -129.66    23.75   -22.35    -5.11
    30.00    20.72    -2.09     4.56     1.59     0.00    48.58    18.36     0.00    61.46  -129.52    23.87   -26.65    -6.11
    35.00    20.87    -2.17     4.77     2.07     0.00    48.06    12.78     0.00    61.12  -129.29    23.99   -30.95    -7.09
    40.00    20.96    -2.26     4.81     2.61     0.00    47.48     7.11     0.00    60.76  -128.96    24.13   -35.24    -8.07
    45.00    21.02    -2.34     4.68     3.20     0.00    46.82     1.36     0.00    60.39  -128.54    24.27   -39.52    -9.04
    50.00    21.06    -2.44     4.37     3.84     0.00    46.08    -4.48     0.00    60.01  -128.02    24.41   -43.81   -10.00
    55.00    21.12    -2.53     3.88     4.54     0.00    45.27   -10.40     0.00    59.61  -127.40    24.55   -48.10   -10.95
    60.00    21.24    -2.62     3.20     5.30     0.00    44.38   -16.41     0.00    59.19  -126.69    24.70   -52.39   -11.89
    65.00    21.45    -2.72     2.32     6.11     0.00    43.41   -22.52     0.00    58.75  -125.87    24.85   -56.70   -12.83
    70.00    21.80    -2.81     1.24     6.97     0.00    42.35   -28.72     0.00    58.30  -124.96    25.01   -61.03   -13.76
    75.00    22.35    -2.91    -0.06     7.89     0.00    41.20   -35.02     0.00    57.83  -123.94    25.16   -65.38   -14.68
    80.00    23.15    -3.00    -1.58     8.87     0.00    39.96   -41.42     0.00    57.33  -122.80    25.31   -69.77   -15.59
     0.00    18.00    -1.75     0.00     0.00     0.00    49.92    49.92     0.00    63.19  -128.95    23.33    -0.71     0.00
    -5.00    17.25    -1.73    -1.27    -0.03     0.00    49.80    54.80     0.00    63.43  -128.51    23.29     3.63     1.05
   -10.00    16.48    -1.72    -2.68     0.01     0.00    49.56    59.53     0.00    63.66  -127.99    23.27     7.96     2.11
   -15.00    15.73    -1.72    -4.21     0.13     0.00    49.17    64.12     0.00    63.87  -127.36    23.27    12.29     3.18
   -20.00    15.09    -1.75    -5.86     0.33     0.00    48.61    68.52     0.00    64.07  -126.64    23.31    16.59     4.27
   -25.00    14.67    -1.79    -7.62     0.62     0.00    47.85    72.70     0.00    64.25  -125.83    23.37    20.86     5.36
   -30.00    14.65    -1.87    -9.48     1.01     0.00    46.84    76.62     0.00    64.41  -124.92    23.48    25.07     6.46
   -35.00    15.29    -1.97   -11.41     1.50     0.00    45.52    80.21     0.00    64.56  -123.93    23.63    29.19     7.58
   -40.00    16.99    -2.11   -13.38     2.10     0.00    43.81    83.40     0.00    64.70  -122.85    23.83    33.17     8.71
   -45.00    20.43    -2.30   -15.37     2.83     0.00    41.57    86.04     0.00    64.82  -121.69    24.11    36.93     9.86
   -50.00    26.76    -2.55   -17.31     3.69     0.00    38.60    87.93     0.00    64.92  -120.48    24.48    40.34    11.01
   -55.00    38.15    -2.89   -19.11     4.70     0.00    34.57    88.75     0.00    65.00  -119.23    24.96    43.15    12.18
   -60.00    59.32    -3.36   -20.60     5.88     0.00    28.86    87.86     0.00    65.07  -117.99    25.62    44.78    13.34
   -65.00   103.36    -4.04   -21.46     7.19     0.00    20.07    83.88     0.00    65.14  -116.84    26.55    43.66    14.44
   -70.00   243.04    -5.23   -20.81     8.24     0.00     2.74    71.45     0.00    65.32  -115.51    28.07    30.91    15.08
   -75.00   431.35    -6.00   -21.54     7.54     0.00   -11.86    59.30     0.00    65.65  -112.40    28.92    10.03    14.46
   -80.00   405.99    -6.03   -22.95     7.80     0.00   -13.21    59.39     0.00    65.66  -112.23    28.99    14.21    14.93
