
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00    49.92    49.92    18.00    18.00    -1.75    -1.75     0.00     0.00     0.00     0.00     0.00
     0.00     5.00    -0.04    49.92    47.42    18.00    18.68    -1.75    -1.79    -0.24     0.00     4.99     0.00     0.00
     0.00    10.00     0.59    49.87    44.85    18.00    19.28    -1.75    -1.83    -0.48     0.00     9.96     0.00     0.00
     0.00    15.00     1.95    49.75    42.22    18.00    19.79    -1.75    -1.89    -0.72     0.00    14.91     0.00     0.00
     0.00    20.00     4.15    49.57    39.52    18.00    20.19    -1.75    -1.95    -0.97     0.00    19.85     0.00     0.00
     0.00    25.00     7.32    49.30    36.73    18.00    20.50    -1.75    -2.02    -1.21     0.00    24.78     0.00     0.00
     0.00    30.00    11.70    48.94    33.83    18.00    20.72    -1.75    -2.09    -1.45     0.00    29.68     0.00     0.00
     0.00    35.00    17.58    48.44    30.80    18.00    20.87    -1.75    -2.17    -1.70     0.00    34.57     0.00     0.00
     0.00    40.00    25.42    47.78    27.60    18.00    20.96    -1.75    -2.26    -1.94     0.00    39.45     0.00     0.00
     0.00    45.00    35.91    46.90    24.17    18.00    21.02    -1.75    -2.34    -2.19     0.00    44.31     0.00     0.00
     0.00    50.00    50.12    45.71    20.43    18.00    21.06    -1.75    -2.44    -2.43     0.00    49.16     0.00     0.00
     0.00    55.00    69.81    44.05    16.22    18.00    21.12    -1.75    -2.53    -2.68     0.00    53.99     0.00     0.00
     0.00    60.00    98.08    41.68    11.28    18.00    21.24    -1.75    -2.62    -2.92     0.00    58.81     0.00     0.00
     0.00    65.00   140.96    38.08     5.12    18.00    21.45    -1.75    -2.72    -3.17     0.00    63.61     0.00     0.00
