
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.00     0.00     0.01     0.00     0.04     0.00     1.78    -1.75    -0.01     0.00    -0.30     0.30   -11.34     0.00
     0.00  -100.00     0.00     0.00     0.00    -0.01     0.00    -0.04     0.00     1.72    -1.75     0.01     0.00    -0.30     0.30    11.57     0.00
     0.00     0.00   100.00     0.00     0.00     0.00     0.01     0.00    -0.04     1.75    -1.72     0.00     0.01    -0.30     0.30     0.00    11.57
     0.00     0.00  -100.00     0.00     0.00     0.00    -0.01     0.00     0.04     1.75    -1.78     0.00    -0.01    -0.30     0.30     0.00   -11.34
     5.00   100.00     0.00    -0.10    -0.10     0.43    -0.42     5.05     4.99     1.82    -1.79     0.61     0.62    -0.31     0.31   -15.22     0.00
     5.00  -100.00     0.00    -0.11    -0.10     0.41    -0.42     4.93     4.99     1.75    -1.79     0.63     0.62    -0.31     0.31    15.37     0.00
     5.00     0.00   100.00    -0.10    -0.11     0.42    -0.41     4.99     4.93     1.79    -1.75     0.62     0.63    -0.31     0.31     0.00    15.37
     5.00     0.00  -100.00    -0.10    -0.10     0.42    -0.43     4.99     5.05     1.79    -1.82     0.62     0.61    -0.31     0.31     0.00   -15.22
    10.00   100.00     0.00    -0.27    -0.28     0.74    -0.73    10.03     9.96     1.86    -1.83     1.23     1.24    -0.32     0.32   -18.58     0.00
    10.00  -100.00     0.00    -0.28    -0.28     0.72    -0.73     9.89     9.96     1.80    -1.83     1.25     1.24    -0.32     0.32    18.67     0.00
    10.00     0.00   100.00    -0.28    -0.28     0.73    -0.72     9.96     9.89     1.83    -1.80     1.24     1.25    -0.32     0.32     0.00    18.67
    10.00     0.00  -100.00    -0.28    -0.27     0.73    -0.74     9.96    10.03     1.83    -1.86     1.24     1.23    -0.32     0.32     0.00   -18.58
    15.00   100.00     0.00    -0.50    -0.51     0.93    -0.92    15.00    14.91     1.92    -1.89     1.85     1.85    -0.33     0.33   -21.50     0.00
    15.00  -100.00     0.00    -0.52    -0.51     0.92    -0.92    14.83    14.91     1.86    -1.89     1.86     1.85    -0.33     0.33    21.54     0.00
    15.00     0.00   100.00    -0.51    -0.52     0.92    -0.92    14.91    14.83     1.89    -1.86     1.85     1.86    -0.33     0.33     0.00    21.54
    15.00     0.00  -100.00    -0.51    -0.50     0.92    -0.93    14.91    15.00     1.89    -1.92     1.85     1.85    -0.33     0.33     0.00   -21.50
    20.00   100.00     0.00    -0.80    -0.81     1.02    -1.01    19.95    19.85     1.98    -1.95     2.45     2.46    -0.33     0.34   -24.02     0.00
    20.00  -100.00     0.00    -0.83    -0.81     1.00    -1.01    19.76    19.85     1.92    -1.95     2.47     2.46    -0.34     0.34    24.03     0.00
    20.00     0.00   100.00    -0.81    -0.83     1.01    -1.00    19.85    19.76     1.95    -1.92     2.46     2.47    -0.34     0.34     0.00    24.03
    20.00     0.00  -100.00    -0.81    -0.80     1.01    -1.02    19.85    19.95     1.95    -1.98     2.46     2.45    -0.34     0.33     0.00   -24.02
    25.00   100.00     0.00    -1.16    -1.17     0.99    -0.99    24.88    24.78     2.05    -2.02     3.06     3.06    -0.34     0.34   -26.20     0.00
    25.00  -100.00     0.00    -1.19    -1.17     0.98    -0.99    24.67    24.78     1.99    -2.02     3.07     3.06    -0.35     0.34    26.17     0.00
    25.00     0.00   100.00    -1.17    -1.19     0.99    -0.98    24.78    24.67     2.02    -1.99     3.06     3.07    -0.34     0.35     0.00    26.17
    25.00     0.00  -100.00    -1.17    -1.16     0.99    -0.99    24.78    24.88     2.02    -2.05     3.06     3.06    -0.34     0.34     0.00   -26.20
    30.00   100.00     0.00    -1.57    -1.59     0.87    -0.86    29.79    29.68     2.12    -2.09     3.66     3.66    -0.34     0.35   -28.07     0.00
    30.00  -100.00     0.00    -1.61    -1.59     0.86    -0.86    29.57    29.68     2.06    -2.09     3.67     3.66    -0.35     0.35    28.00     0.00
    30.00     0.00   100.00    -1.59    -1.61     0.86    -0.86    29.68    29.57     2.09    -2.06     3.66     3.67    -0.35     0.35     0.00    28.00
    30.00     0.00  -100.00    -1.59    -1.57     0.86    -0.87    29.68    29.79     2.09    -2.12     3.66     3.66    -0.35     0.34     0.00   -28.07
    35.00   100.00     0.00    -2.05    -2.07     0.63    -0.63    34.69    34.57     2.20    -2.17     4.25     4.26    -0.34     0.35   -29.65     0.00
    35.00  -100.00     0.00    -2.09    -2.07     0.63    -0.63    34.45    34.57     2.14    -2.17     4.26     4.26    -0.36     0.35    29.55     0.00
    35.00     0.00   100.00    -2.07    -2.09     0.63    -0.63    34.57    34.45     2.17    -2.14     4.26     4.26    -0.35     0.36     0.00    29.55
