
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.22     0.00     0.10     0.00     0.87     0.00     1.74    -1.75     0.55     0.00    -0.41     0.30  -214.99     0.00
     0.00  -100.00     0.00     0.21     0.00    -0.11     0.00    -0.91     0.00     1.76    -1.75    -0.56     0.00    -0.18     0.30   222.09     0.00
     0.00     0.00   100.00     0.00    -0.22     0.00    -0.10     0.00     0.87     1.75    -1.74     0.00     0.55    -0.30     0.41     0.00  -214.99
     0.00     0.00  -100.00     0.00     0.21     0.00     0.11     0.00    -0.91     1.75    -1.76     0.00    -0.56    -0.30     0.18     0.00   222.09
     5.00   100.00     0.00    -0.35    -0.10     0.49    -0.42     5.84     4.99     1.77    -1.79     1.15     0.62    -0.41     0.31  -212.67     0.00
     5.00  -100.00     0.00     0.13    -0.10     0.34    -0.42     4.10     4.99     1.80    -1.79     0.08     0.62    -0.21     0.31   219.18     0.00
     5.00     0.00   100.00    -0.10    -0.35     0.42    -0.49     4.99     5.84     1.79    -1.77     0.62     1.15    -0.31     0.41     0.00  -212.67
     5.00     0.00  -100.00    -0.10     0.13     0.42    -0.34     4.99     4.10     1.79    -1.80     0.62     0.08    -0.31     0.21     0.00   219.18
    10.00   100.00     0.00    -0.55    -0.28     0.78    -0.73    10.79     9.96     1.82    -1.83     1.75     1.24    -0.40     0.32  -210.47     0.00
    10.00  -100.00     0.00    -0.01    -0.28     0.68    -0.73     9.10     9.96     1.84    -1.83     0.72     1.24    -0.23     0.32   216.47     0.00
    10.00     0.00   100.00    -0.28    -0.55     0.73    -0.78     9.96    10.79     1.83    -1.82     1.24     1.75    -0.32     0.40     0.00  -210.47
    10.00     0.00  -100.00    -0.28    -0.01     0.73    -0.68     9.96     9.10     1.83    -1.84     1.24     0.72    -0.32     0.23     0.00   216.47
    15.00   100.00     0.00    -0.81    -0.51     0.95    -0.92    15.72    14.91     1.87    -1.89     2.35     1.85    -0.40     0.33  -208.38     0.00
    15.00  -100.00     0.00    -0.23    -0.51     0.89    -0.92    14.08    14.91     1.89    -1.89     1.35     1.85    -0.26     0.33   213.95     0.00
    15.00     0.00   100.00    -0.51    -0.81     0.92    -0.95    14.91    15.72     1.89    -1.87     1.85     2.35    -0.33     0.40     0.00  -208.38
    15.00     0.00  -100.00    -0.51    -0.23     0.92    -0.89    14.91    14.08     1.89    -1.89     1.85     1.35    -0.33     0.26     0.00   213.95
    20.00   100.00     0.00    -1.13    -0.81     1.01    -1.01    20.64    19.85     1.94    -1.95     2.95     2.46    -0.39     0.34  -206.43     0.00
    20.00  -100.00     0.00    -0.50    -0.81     1.00    -1.01    19.04    19.85     1.96    -1.95     1.97     2.46    -0.28     0.34   211.60     0.00
    20.00     0.00   100.00    -0.81    -1.13     1.01    -1.01    19.85    20.64     1.95    -1.94     2.46     2.95    -0.34     0.39     0.00  -206.43
    20.00     0.00  -100.00    -0.81    -0.50     1.01    -1.00    19.85    19.04     1.95    -1.96     2.46     1.97    -0.34     0.28     0.00   211.60
    25.00   100.00     0.00    -1.51    -1.17     0.97    -0.99    25.54    24.78     2.01    -2.02     3.53     3.06    -0.39     0.34  -204.60     0.00
    25.00  -100.00     0.00    -0.84    -1.17     1.00    -0.99    23.98    24.78     2.03    -2.02     2.58     3.06    -0.29     0.34   209.42     0.00
    25.00     0.00   100.00    -1.17    -1.51     0.99    -0.97    24.78    25.54     2.02    -2.01     3.06     3.53    -0.34     0.39     0.00  -204.60
    25.00     0.00  -100.00    -1.17    -0.84     0.99    -1.00    24.78    23.98     2.02    -2.03     3.06     2.58    -0.34     0.29     0.00   209.42
    30.00   100.00     0.00    -1.94    -1.59     0.83    -0.86    30.43    29.68     2.08    -2.09     4.12     3.66    -0.38     0.35  -202.90     0.00
    30.00  -100.00     0.00    -1.25    -1.59     0.89    -0.86    28.90    29.68     2.10    -2.09     3.20     3.66    -0.31     0.35   207.41     0.00
    30.00     0.00   100.00    -1.59    -1.94     0.86    -0.83    29.68    30.43     2.09    -2.08     3.66     4.12    -0.35     0.38     0.00  -202.90
    30.00     0.00  -100.00    -1.59    -1.25     0.86    -0.89    29.68    28.90     2.09    -2.10     3.66     3.20    -0.35     0.31     0.00   207.41
    35.00   100.00     0.00    -2.44    -2.07     0.58    -0.63    35.31    34.57     2.16    -2.17     4.70     4.26    -0.37     0.35  -201.34     0.00
    35.00  -100.00     0.00    -1.71    -2.07     0.68    -0.63    33.81    34.57     2.18    -2.17     3.80     4.26    -0.32     0.35   205.56     0.00
    35.00     0.00   100.00    -2.07    -2.44     0.63    -0.58    34.57    35.31     2.17    -2.16     4.26     4.70    -0.35     0.37     0.00  -201.34
