
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Raumlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.08     0.00    -0.04     0.00     0.00     0.00     1.75    -1.75    -0.10     0.00    -0.16     0.30    -1.10     0.00
     0.00  -100.00     0.00    -0.09     0.00     0.03     0.00    -0.02     0.00     1.75    -1.75     0.10     0.00    -0.44     0.30     3.93     0.00
     0.00     0.00   100.00     0.00    -0.09     0.00    -0.03     0.00    -0.02     1.75    -1.75     0.00     0.10    -0.30     0.44     0.00     3.93
     0.00     0.00  -100.00     0.00     0.08     0.00     0.04     0.00     0.00     1.75    -1.75     0.00    -0.10    -0.30     0.16     0.00    -1.10
     5.00   100.00     0.00    -0.02    -0.10     0.39    -0.42     5.00     4.99     1.78    -1.79     0.54     0.62    -0.18     0.31    -1.93     0.00
     5.00  -100.00     0.00    -0.19    -0.10     0.46    -0.42     4.97     4.99     1.79    -1.79     0.71     0.62    -0.44     0.31     4.10     0.00
     5.00     0.00   100.00    -0.10    -0.19     0.42    -0.46     4.99     4.97     1.79    -1.79     0.62     0.71    -0.31     0.44     0.00     4.10
     5.00     0.00  -100.00    -0.10    -0.02     0.42    -0.39     4.99     5.00     1.79    -1.78     0.62     0.54    -0.31     0.18     0.00    -1.93
    10.00   100.00     0.00    -0.20    -0.28     0.69    -0.73     9.98     9.96     1.83    -1.83     1.17     1.24    -0.20     0.32    -2.83     0.00
    10.00  -100.00     0.00    -0.36    -0.28     0.76    -0.73     9.94     9.96     1.83    -1.83     1.31     1.24    -0.45     0.32     4.44     0.00
    10.00     0.00   100.00    -0.28    -0.36     0.73    -0.76     9.96     9.94     1.83    -1.83     1.24     1.31    -0.32     0.45     0.00     4.44
    10.00     0.00  -100.00    -0.28    -0.20     0.73    -0.69     9.96     9.98     1.83    -1.83     1.24     1.17    -0.32     0.20     0.00    -2.83
    15.00   100.00     0.00    -0.44    -0.51     0.89    -0.92    14.93    14.91     1.89    -1.89     1.80     1.85    -0.21     0.33    -3.78     0.00
    15.00  -100.00     0.00    -0.59    -0.51     0.96    -0.92    14.89    14.91     1.88    -1.89     1.91     1.85    -0.45     0.33     4.89     0.00
    15.00     0.00   100.00    -0.51    -0.59     0.92    -0.96    14.91    14.89     1.89    -1.88     1.85     1.91    -0.33     0.45     0.00     4.89
    15.00     0.00  -100.00    -0.51    -0.44     0.92    -0.89    14.91    14.93     1.89    -1.89     1.85     1.80    -0.33     0.21     0.00    -3.78
    20.00   100.00     0.00    -0.75    -0.81     0.98    -1.01    19.88    19.85     1.95    -1.95     2.42     2.46    -0.22     0.34    -4.72     0.00
    20.00  -100.00     0.00    -0.88    -0.81     1.04    -1.01    19.83    19.85     1.94    -1.95     2.50     2.46    -0.45     0.34     5.41     0.00
    20.00     0.00   100.00    -0.81    -0.88     1.01    -1.04    19.85    19.83     1.95    -1.94     2.46     2.50    -0.34     0.45     0.00     5.41
    20.00     0.00  -100.00    -0.81    -0.75     1.01    -0.98    19.85    19.88     1.95    -1.95     2.46     2.42    -0.34     0.22     0.00    -4.72
    25.00   100.00     0.00    -1.11    -1.17     0.95    -0.99    24.80    24.78     2.02    -2.02     3.03     3.06    -0.23     0.34    -5.63     0.00
    25.00  -100.00     0.00    -1.24    -1.17     1.02    -0.99    24.75    24.78     2.01    -2.02     3.10     3.06    -0.46     0.34     5.93     0.00
    25.00     0.00   100.00    -1.17    -1.24     0.99    -1.02    24.78    24.75     2.02    -2.01     3.06     3.10    -0.34     0.46     0.00     5.93
    25.00     0.00  -100.00    -1.17    -1.11     0.99    -0.95    24.78    24.80     2.02    -2.02     3.06     3.03    -0.34     0.23     0.00    -5.63
    30.00   100.00     0.00    -1.54    -1.59     0.83    -0.86    29.71    29.68     2.10    -2.09     3.64     3.66    -0.23     0.35    -6.47     0.00
    30.00  -100.00     0.00    -1.65    -1.59     0.90    -0.86    29.65    29.68     2.08    -2.09     3.68     3.66    -0.46     0.35     6.44     0.00
    30.00     0.00   100.00    -1.59    -1.65     0.86    -0.90    29.68    29.65     2.09    -2.08     3.66     3.68    -0.35     0.46     0.00     6.44
    30.00     0.00  -100.00    -1.59    -1.54     0.86    -0.83    29.68    29.71     2.09    -2.10     3.66     3.64    -0.35     0.23     0.00    -6.47
    35.00   100.00     0.00    -2.02    -2.07     0.59    -0.63    34.60    34.57     2.18    -2.17     4.25     4.26    -0.23     0.35    -7.24     0.00
    35.00  -100.00     0.00    -2.12    -2.07     0.66    -0.63    34.54    34.57     2.16    -2.17     4.27     4.26    -0.46     0.35     6.88     0.00
    35.00     0.00   100.00    -2.07    -2.12     0.63    -0.66    34.57    34.54     2.17    -2.16     4.26     4.27    -0.35     0.46     0.00     6.88
