
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.55     0.00    -0.03     0.00     0.02     0.00     0.00     0.00    -0.07     0.00    -0.06     0.00   759.72   764.92
     0.00 -1000.00     0.00    -0.55     0.00     0.03     0.00    -0.01     0.00     0.00     0.00     0.07     0.00     0.06     0.00   769.59   764.92
     0.00     0.00  1000.00     0.00     0.55     0.00     0.03     0.00     0.02     0.00     0.00     0.00    -0.07     0.00     0.06   764.92   759.72
     0.00     0.00 -1000.00     0.00    -0.55     0.00    -0.03     0.00    -0.01     0.00     0.00     0.00     0.07     0.00    -0.06   764.92   769.59
     5.00  1000.00     0.00     0.58     0.03    -0.26     0.23     4.80     4.78     0.16    -0.16    -0.08     0.00    -0.08     0.02   827.78   833.61
     5.00 -1000.00     0.00    -0.52     0.03    -0.20     0.23     4.77     4.78     0.16    -0.16     0.08     0.00     0.05     0.02   838.89   833.61
     5.00     0.00  1000.00     0.03     0.58    -0.23     0.26     4.78     4.80     0.16    -0.16     0.00    -0.08    -0.02     0.08   833.61   827.78
     5.00     0.00 -1000.00     0.03    -0.52    -0.23     0.20     4.78     4.77     0.16    -0.16     0.00     0.08    -0.02    -0.05   833.61   838.89
    10.00  1000.00     0.00     0.61     0.06    -0.56     0.53     9.57     9.55     0.33    -0.33    -0.08     0.00    -0.10     0.03   898.73   905.21
    10.00 -1000.00     0.00    -0.50     0.06    -0.50     0.53     9.53     9.55     0.32    -0.33     0.08     0.00     0.03     0.03   911.11   905.21
    10.00     0.00  1000.00     0.06     0.61    -0.53     0.56     9.55     9.57     0.33    -0.33     0.00    -0.08    -0.03     0.10   905.21   898.73
    10.00     0.00 -1000.00     0.06    -0.50    -0.53     0.50     9.55     9.53     0.33    -0.32     0.00     0.08    -0.03    -0.03   905.21   911.11
    15.00  1000.00     0.00     0.64     0.09    -0.94     0.91    14.34    14.31     0.50    -0.49    -0.08     0.00    -0.12     0.06   972.72   979.87
    15.00 -1000.00     0.00    -0.47     0.09    -0.88     0.91    14.29    14.31     0.49    -0.49     0.08     0.00     0.01     0.06   986.41   979.87
    15.00     0.00  1000.00     0.09     0.64    -0.91     0.94    14.31    14.34     0.49    -0.50     0.00    -0.08    -0.06     0.12   979.87   972.72
    15.00     0.00 -1000.00     0.09    -0.47    -0.91     0.88    14.31    14.29     0.49    -0.49     0.00     0.08    -0.06    -0.01   979.87   986.41
    20.00  1000.00     0.00     0.68     0.12    -1.39     1.36    19.09    19.06     0.67    -0.67    -0.08     0.00    -0.15     0.08  1049.88  1057.71
    20.00 -1000.00     0.00    -0.43     0.12    -1.33     1.36    19.04    19.06     0.66    -0.67     0.09     0.00    -0.01     0.08  1064.90  1057.71
    20.00     0.00  1000.00     0.12     0.68    -1.36     1.39    19.06    19.09     0.67    -0.67     0.00    -0.08    -0.08     0.15  1057.71  1049.88
    20.00     0.00 -1000.00     0.12    -0.43    -1.36     1.33    19.06    19.04     0.67    -0.66     0.00     0.09    -0.08     0.01  1057.71  1064.90
    25.00  1000.00     0.00     0.73     0.16    -1.92     1.88    23.83    23.80     0.84    -0.84    -0.08     0.01    -0.17     0.10  1130.30  1138.82
    25.00 -1000.00     0.00    -0.40     0.16    -1.85     1.88    23.78    23.80     0.84    -0.84     0.09     0.01    -0.03     0.10  1146.69  1138.82
    25.00     0.00  1000.00     0.16     0.73    -1.88     1.92    23.80    23.83     0.84    -0.84     0.01    -0.08    -0.10     0.17  1138.82  1130.30
