
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.03     0.00     0.06     0.00    -0.12     0.00    -0.01     0.00     0.00     0.00     0.03     0.00   802.81   764.92
     0.00 -1000.00     0.00     0.03     0.00    -0.07     0.00     0.12     0.00     0.01     0.00     0.00     0.00    -0.03     0.00   726.28   764.92
     0.00     0.00  1000.00     0.00     0.03     0.00     0.07     0.00     0.12     0.00    -0.01     0.00     0.00     0.00     0.03   764.92   726.28
     0.00     0.00 -1000.00     0.00    -0.03     0.00    -0.06     0.00    -0.12     0.00     0.01     0.00     0.00     0.00    -0.03   764.92   802.81
     5.00  1000.00     0.00     0.00     0.03    -0.16     0.23     4.62     4.78     0.15    -0.16     0.00     0.00     0.01     0.02   886.28   833.61
     5.00 -1000.00     0.00     0.06     0.03    -0.30     0.23     4.95     4.78     0.17    -0.16     0.00     0.00    -0.05     0.02   779.89   833.61
     5.00     0.00  1000.00     0.03     0.06    -0.23     0.30     4.78     4.95     0.16    -0.17     0.00     0.00    -0.02     0.05   833.61   779.89
     5.00     0.00 -1000.00     0.03     0.00    -0.23     0.16     4.78     4.62     0.16    -0.15     0.00     0.00    -0.02    -0.01   833.61   886.28
    10.00  1000.00     0.00     0.02     0.06    -0.46     0.53     9.34     9.55     0.32    -0.33     0.00     0.00     0.00     0.03   972.55   905.21
    10.00 -1000.00     0.00     0.09     0.06    -0.61     0.53     9.77     9.55     0.33    -0.33     0.00     0.00    -0.06     0.03   836.52   905.21
    10.00     0.00  1000.00     0.06     0.09    -0.53     0.61     9.55     9.77     0.33    -0.33     0.00     0.00    -0.03     0.06   905.21   836.52
    10.00     0.00 -1000.00     0.06     0.02    -0.53     0.46     9.55     9.34     0.33    -0.32     0.00     0.00    -0.03     0.00   905.21   972.55
    15.00  1000.00     0.00     0.06     0.09    -0.83     0.91    14.06    14.31     0.48    -0.49     0.00     0.00    -0.03     0.06  1061.79   979.87
    15.00 -1000.00     0.00     0.12     0.09    -0.99     0.91    14.57    14.31     0.50    -0.49     0.00     0.00    -0.09     0.06   896.31   979.87
    15.00     0.00  1000.00     0.09     0.12    -0.91     0.99    14.31    14.57     0.49    -0.50     0.00     0.00    -0.06     0.09   979.87   896.31
    15.00     0.00 -1000.00     0.09     0.06    -0.91     0.83    14.31    14.06     0.49    -0.48     0.00     0.00    -0.06     0.03   979.87  1061.79
    20.00  1000.00     0.00     0.09     0.12    -1.27     1.36    18.76    19.06     0.65    -0.67     0.00     0.00    -0.05     0.08  1154.11  1057.71
    20.00 -1000.00     0.00     0.16     0.12    -1.45     1.36    19.37    19.06     0.68    -0.67     0.00     0.00    -0.11     0.08   959.38  1057.71
    20.00     0.00  1000.00     0.12     0.16    -1.36     1.45    19.06    19.37     0.67    -0.68     0.00     0.00    -0.08     0.11  1057.71   959.38
    20.00     0.00 -1000.00     0.12     0.09    -1.36     1.27    19.06    18.76     0.67    -0.65     0.00     0.00    -0.08     0.05  1057.71  1154.11
    25.00  1000.00     0.00     0.13     0.16    -1.78     1.88    23.46    23.80     0.83    -0.84     0.01     0.01    -0.07     0.10  1249.63  1138.82
    25.00 -1000.00     0.00     0.20     0.16    -1.99     1.88    24.15    23.80     0.85    -0.84     0.01     0.01    -0.13     0.10  1025.82  1138.82
    25.00     0.00  1000.00     0.16     0.20    -1.88     1.99    23.80    24.15     0.84    -0.85     0.01     0.01    -0.10     0.13  1138.82  1025.82
