
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.10     0.00    -1.00     0.00    15.38     0.00     0.53     0.00     0.00     0.00    -0.06     0.00     0.00   764.92
     0.00 -1000.00     0.00    -0.01     0.00     0.10     0.00    -2.97     0.00    -0.10     0.00     0.00     0.00     0.01     0.00  1722.47   764.92
     0.00     0.00  1000.00     0.00     0.10     0.00     1.00     0.00    15.38     0.00    -0.53     0.00     0.00     0.00     0.06   764.92     0.00
     0.00     0.00 -1000.00     0.00    -0.01     0.00    -0.10     0.00    -2.97     0.00     0.10     0.00     0.00     0.00    -0.01   764.92  1722.47
     5.00  1000.00     0.00     0.10     0.03    -1.00     0.23    15.38     4.78     0.53    -0.16     0.00     0.00    -0.06     0.02     0.00   833.61
     5.00 -1000.00     0.00     0.01     0.03    -0.08     0.23     1.82     4.78     0.06    -0.16     0.00     0.00    -0.01     0.02  1789.05   833.61
     5.00     0.00  1000.00     0.03     0.10    -0.23     1.00     4.78    15.38     0.16    -0.53     0.00     0.00    -0.02     0.06   833.61     0.00
     5.00     0.00 -1000.00     0.03     0.01    -0.23     0.08     4.78     1.82     0.16    -0.06     0.00     0.00    -0.02     0.01   833.61  1789.05
    10.00  1000.00     0.00     0.10     0.06    -1.00     0.53    15.38     9.55     0.53    -0.33     0.00     0.00    -0.06     0.03     0.00   905.21
    10.00 -1000.00     0.00     0.04     0.06    -0.34     0.53     6.60     9.55     0.22    -0.33     0.00     0.00    -0.02     0.03  1858.40   905.21
    10.00     0.00  1000.00     0.06     0.10    -0.53     1.00     9.55    15.38     0.33    -0.53     0.00     0.00    -0.03     0.06   905.21     0.00
    10.00     0.00 -1000.00     0.06     0.04    -0.53     0.34     9.55     6.60     0.33    -0.22     0.00     0.00    -0.03     0.02   905.21  1858.40
    15.00  1000.00     0.00     0.11     0.09    -1.18     0.91    17.26    14.31     0.60    -0.49     0.00     0.00    -0.07     0.06    30.83   979.87
    15.00 -1000.00     0.00     0.07     0.09    -0.67     0.91    11.36    14.31     0.39    -0.49     0.00     0.00    -0.04     0.06  1930.70   979.87
    15.00     0.00  1000.00     0.09     0.11    -0.91     1.18    14.31    17.26     0.49    -0.60     0.00     0.00    -0.06     0.07   979.87    30.83
    15.00     0.00 -1000.00     0.09     0.07    -0.91     0.67    14.31    11.36     0.49    -0.39     0.00     0.00    -0.06     0.04   979.87  1930.70
    20.00  1000.00     0.00     0.15     0.12    -1.68     1.36    22.00    19.06     0.77    -0.67     0.01     0.00    -0.09     0.08   111.19  1057.71
    20.00 -1000.00     0.00     0.10     0.12    -1.07     1.36    16.12    19.06     0.56    -0.67     0.00     0.00    -0.06     0.08  2006.09  1057.71
    20.00     0.00  1000.00     0.12     0.15    -1.36     1.68    19.06    22.00     0.67    -0.77     0.00     0.01    -0.08     0.09  1057.71   111.19
    20.00     0.00 -1000.00     0.12     0.10    -1.36     1.07    19.06    16.12     0.67    -0.56     0.00     0.00    -0.08     0.06  1057.71  2006.09
    25.00  1000.00     0.00     0.19     0.16    -2.24     1.88    26.73    23.80     0.95    -0.84     0.01     0.01    -0.12     0.10   194.89  1138.82
    25.00 -1000.00     0.00     0.14     0.16    -1.55     1.88    20.87    23.80     0.73    -0.84     0.00     0.01    -0.09     0.10  2084.67  1138.82
    25.00     0.00  1000.00     0.16     0.19    -1.88     2.24    23.80    26.73     0.84    -0.95     0.01     0.01    -0.10     0.12  1138.82   194.89
