
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00     0.00     0.00     0.00     0.00    58.08    58.08    -1.#J    -1.#J    10.52    16.86    30.15     9.63
     5.00     0.98    -0.16     0.87    -0.03     0.00    55.07    50.28     0.00     0.00    10.52    17.02    30.15     9.64
    10.00     2.08    -0.33     1.62    -0.06     0.00    52.10    42.53     0.00     0.00    10.53    17.18    30.14     9.66
    15.00     3.32    -0.49     2.25    -0.09     0.00    49.15    34.81     0.00     0.00    10.54    17.34    30.13     9.67
    20.00     4.68    -0.67     2.76    -0.12     0.00    46.24    27.13     0.00     0.00    10.55    17.51    30.11     9.69
    25.00     6.18    -0.84     3.15    -0.16     0.00    43.35    19.49     0.00     0.00    10.56    17.68    30.10     9.70
    30.00     7.81    -1.02     3.43    -0.21     0.00    40.49    11.88     0.00     0.01    10.58    17.86    30.08     9.71
    35.00     9.57    -1.20     3.59    -0.25     0.00    37.66     4.32     0.00     0.01    10.59    18.03    30.05     9.73
    40.00    11.47    -1.39     3.63    -0.30     0.00    34.86    -3.21     0.00     0.02    10.60    18.21    30.02     9.74
    45.00    13.52    -1.57     3.56    -0.36     0.00    32.09   -10.70     0.00     0.02    10.61    18.40    29.99     9.76
    50.00    15.71    -1.77     3.38    -0.41     0.00    29.34   -18.17     0.00     0.03    10.63    18.58    29.95     9.78
    55.00    18.04    -1.97     3.09    -0.48     0.00    26.61   -25.60     0.00     0.03    10.64    18.78    29.90     9.79
    60.00    20.53    -2.17     2.69    -0.54     0.00    23.91   -33.01     0.00     0.04    10.65    18.97    29.85     9.81
     0.00     0.00     0.00     0.00     0.00     0.00    58.08    58.08    -1.#J    -1.#J    10.52    16.86    30.15     9.63
    -5.00    -0.85     0.16    -0.99     0.02     0.00    61.12    65.92     0.00     0.00    10.51    16.70    30.15     9.62
   -10.00    -1.58     0.31    -2.11     0.04     0.00    64.20    73.80     0.00     0.00    10.50    16.55    30.15     9.61
   -15.00    -2.18     0.46    -3.36     0.06     0.00    67.30    81.72     0.00     0.01    10.49    16.40    30.15     9.59
   -20.00    -2.65     0.61    -4.73     0.07     0.00    70.45    89.68     0.00     0.01    10.48    16.25    30.15     9.58
   -25.00    -3.01     0.76    -6.23     0.09     0.00    73.63    97.68     0.00     0.02    10.48    16.11    30.14     9.57
