
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             Demo data                                           

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.00     0.00    10.52     0.00     0.00     0.00     0.00     0.00     0.00   102.24 ******** ********
     5.00    -2.11    -2.13    -0.33    10.64    -0.22    -2.09    -0.04    -0.02    -0.03    42.52    99.85   113.21   113.16
    10.00    -4.21    -4.29    -0.64    10.76    -0.90    -4.11    -0.18    -0.08    -0.10    43.36    97.52    56.85    56.82
    15.00    -6.30    -6.48    -0.93    10.88    -2.02    -6.09    -0.39    -0.17    -0.22    44.44    95.23    38.05    38.05
    20.00    -8.39    -8.70    -1.18    11.01    -3.61    -8.01    -0.69    -0.31    -0.37    45.76    93.00    28.65    28.67
    25.00   -10.47   -10.97    -1.42    11.14    -5.66    -9.90    -1.07    -0.50    -0.56    47.34    90.80    23.01    23.05
    30.00   -12.54   -13.30    -1.63    11.27    -8.18   -11.77    -1.53    -0.75    -0.77    49.21    88.65    19.25    19.31
    35.00   -14.63   -15.69    -1.81    11.41   -11.18   -13.62    -2.07    -1.06    -1.00    51.41    86.53    16.56    16.65
    40.00   -16.71   -18.16    -1.97    11.55   -14.69   -15.47    -2.69    -1.45    -1.24    53.99    84.45    14.54    14.65
    45.00   -18.81   -20.75    -2.11    11.70   -18.72   -17.34    -3.40    -1.94    -1.46    57.00    82.39    12.98    13.11
    50.00   -20.91   -23.46    -2.22    11.85   -23.31   -19.25    -4.22    -2.55    -1.66    60.56    80.36    11.72    11.87
    55.00   -23.02   -26.35    -2.31    12.00   -28.49   -21.21    -5.14    -3.33    -1.81    64.78    78.37    10.70    10.87
    60.00   -25.15   -29.49    -2.37    12.16   -34.34   -23.29    -6.20    -4.33    -1.87    69.88    76.39     9.85    10.04
    65.00   -27.30   -32.97    -2.40    12.31   -40.96   -25.53    -7.44    -5.67    -1.77    76.21    74.44     9.13     9.34
     0.00     0.00     0.00     0.00    10.52     0.00     0.00     0.00     0.00     0.00     0.00   102.24 ******** ********
    -5.00     2.13     2.11     0.36    10.39    -0.22     2.09     0.04     0.02     0.03    42.52   104.69   113.21   113.16
   -10.00     4.29     4.21     0.75    10.27    -0.90     4.11     0.18     0.08     0.10    43.36   107.21    56.85    56.82
   -15.00     6.48     6.30     1.17    10.14    -2.02     6.09     0.39     0.17     0.22    44.44   109.80    38.05    38.05
   -20.00     8.70     8.39     1.63    10.01    -3.61     8.01     0.69     0.31     0.37    45.76   112.47    28.65    28.67
   -25.00    10.97    10.47     2.11     9.87    -5.66     9.90     1.07     0.50     0.56    47.34   115.24    23.01    23.05
   -30.00    13.30    12.54     2.64     9.73    -8.18    11.77     1.53     0.75     0.77    49.21   118.12    19.25    19.31
   -35.00    15.69    14.63     3.21     9.57   -11.18    13.62     2.07     1.06     1.00    51.41   121.12    16.56    16.65
   -40.00    18.16    16.71     3.82     9.40   -14.69    15.47     2.69     1.45     1.24    53.99   124.27    14.54    14.65
   -45.00    20.75    18.81     4.50     9.22   -18.72    17.34     3.40     1.94     1.46    57.00   127.58    12.98    13.11
   -50.00    23.46    20.91     5.23     9.01   -23.31    19.25     4.22     2.55     1.66    60.56   131.10    11.72    11.87
   -55.00    26.35    23.02     6.05     8.78   -28.49    21.21     5.14     3.33     1.81    64.78   134.88    10.70    10.87
   -60.00    29.49    25.15     6.98     8.52   -34.34    23.29     6.20     4.33     1.87    69.88   138.98     9.85    10.04
   -65.00    32.97    27.30     8.04     8.21   -40.96    25.53     7.44     5.67     1.77    76.21   143.51     9.13     9.34
