
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.00     0.00    -0.01     0.00     0.17     0.00     0.05     0.00     0.00     0.00    -0.02     0.00   709.24   764.92
     0.00  -100.00     0.00     0.00     0.00     0.01     0.00    -0.17     0.00    -0.05     0.00     0.00     0.00     0.02     0.00   820.63   764.92
     0.00     0.00   100.00     0.00     0.00     0.00    -0.01     0.00    -0.17     0.00     0.05     0.00     0.00     0.00    -0.02   764.92   820.63
     0.00     0.00  -100.00     0.00     0.00     0.00     0.01     0.00     0.17     0.00    -0.05     0.00     0.00     0.00     0.02   764.92   709.24
     5.00   100.00     0.00     0.03     0.03    -0.24     0.23     4.96     4.78     0.21    -0.16     0.00     0.00    -0.03     0.02   776.80   833.61
     5.00  -100.00     0.00     0.02     0.03    -0.22     0.23     4.61     4.78     0.11    -0.16     0.00     0.00     0.00     0.02   890.45   833.61
     5.00     0.00   100.00     0.03     0.02    -0.23     0.22     4.78     4.61     0.16    -0.11     0.00     0.00    -0.02     0.00   833.61   890.45
     5.00     0.00  -100.00     0.03     0.03    -0.23     0.24     4.78     4.96     0.16    -0.21     0.00     0.00    -0.02     0.03   833.61   776.80
    10.00   100.00     0.00     0.06     0.06    -0.55     0.53     9.73     9.55     0.37    -0.33     0.00     0.00    -0.05     0.03   847.25   905.21
    10.00  -100.00     0.00     0.05     0.06    -0.52     0.53     9.37     9.55     0.28    -0.33     0.01     0.00    -0.02     0.03   963.19   905.21
    10.00     0.00   100.00     0.06     0.05    -0.53     0.52     9.55     9.37     0.33    -0.28     0.00     0.01    -0.03     0.02   905.21   963.19
    10.00     0.00  -100.00     0.06     0.06    -0.53     0.55     9.55     9.73     0.33    -0.37     0.00     0.00    -0.03     0.05   905.21   847.25
    15.00   100.00     0.00     0.09     0.09    -0.93     0.91    14.50    14.31     0.54    -0.49     0.00     0.00    -0.07     0.06   920.74   979.87
    15.00  -100.00     0.00     0.09     0.09    -0.89     0.91    14.13    14.31     0.45    -0.49     0.01     0.00    -0.04     0.06  1039.00   979.87
    15.00     0.00   100.00     0.09     0.09    -0.91     0.89    14.31    14.13     0.49    -0.45     0.00     0.01    -0.06     0.04   979.87  1039.00
    15.00     0.00  -100.00     0.09     0.09    -0.91     0.93    14.31    14.50     0.49    -0.54     0.00     0.00    -0.06     0.07   979.87   920.74
    20.00   100.00     0.00     0.13     0.12    -1.38     1.36    19.25    19.06     0.71    -0.67     0.00     0.00    -0.10     0.08   997.40  1057.71
    20.00  -100.00     0.00     0.12     0.12    -1.34     1.36    18.88    19.06     0.62    -0.67     0.01     0.00    -0.06     0.08  1118.01  1057.71
    20.00     0.00   100.00     0.12     0.12    -1.36     1.34    19.06    18.88     0.67    -0.62     0.00     0.01    -0.08     0.06  1057.71  1118.01
    20.00     0.00  -100.00     0.12     0.13    -1.36     1.38    19.06    19.25     0.67    -0.71     0.00     0.00    -0.08     0.10  1057.71   997.40
