
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.13     0.00     0.00     0.00     0.00     0.00    -0.01     0.00     0.37     0.00     0.00     0.00   765.46   764.92
     0.00  -100.00     0.00     0.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.37     0.00     0.00     0.00   765.25   764.92
     0.00     0.00   100.00     0.00    -0.13     0.00     0.00     0.00     0.00     0.00     0.01     0.00     0.37     0.00     0.00   764.92   765.46
     0.00     0.00  -100.00     0.00     0.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.37     0.00     0.00   764.92   765.25
     5.00   100.00     0.00    -0.11     0.03    -0.23     0.23     4.78     4.78     0.16    -0.16     0.37     0.00    -0.01     0.02   833.96   833.61
     5.00  -100.00     0.00     0.16     0.03    -0.23     0.23     4.78     4.78     0.17    -0.16    -0.37     0.00    -0.02     0.02   834.12   833.61
     5.00     0.00   100.00     0.03    -0.11    -0.23     0.23     4.78     4.78     0.16    -0.16     0.00     0.37    -0.02     0.01   833.61   833.96
     5.00     0.00  -100.00     0.03     0.16    -0.23     0.23     4.78     4.78     0.16    -0.17     0.00    -0.37    -0.02     0.02   833.61   834.12
    10.00   100.00     0.00    -0.08     0.06    -0.53     0.53     9.55     9.55     0.32    -0.33     0.37     0.00    -0.03     0.03   905.35   905.21
    10.00  -100.00     0.00     0.19     0.06    -0.53     0.53     9.55     9.55     0.33    -0.33    -0.37     0.00    -0.04     0.03   905.92   905.21
    10.00     0.00   100.00     0.06    -0.08    -0.53     0.53     9.55     9.55     0.33    -0.32     0.00     0.37    -0.03     0.03   905.21   905.35
    10.00     0.00  -100.00     0.06     0.19    -0.53     0.53     9.55     9.55     0.33    -0.33     0.00    -0.37    -0.03     0.04   905.21   905.92
    15.00   100.00     0.00    -0.06     0.09    -0.91     0.91    14.31    14.31     0.49    -0.49     0.37     0.00    -0.04     0.06   979.79   979.87
    15.00  -100.00     0.00     0.23     0.09    -0.91     0.91    14.31    14.31     0.50    -0.49    -0.36     0.00    -0.07     0.06   980.78   979.87
    15.00     0.00   100.00     0.09    -0.06    -0.91     0.91    14.31    14.31     0.49    -0.49     0.00     0.37    -0.06     0.04   979.87   979.79
    15.00     0.00  -100.00     0.09     0.23    -0.91     0.91    14.31    14.31     0.49    -0.50     0.00    -0.36    -0.06     0.07   979.87   980.78
    20.00   100.00     0.00    -0.02     0.12    -1.36     1.36    19.06    19.06     0.66    -0.67     0.37     0.00    -0.06     0.08  1057.39  1057.71
    20.00  -100.00     0.00     0.27     0.12    -1.36     1.36    19.06    19.06     0.67    -0.67    -0.36     0.00    -0.09     0.08  1058.85  1057.71
    20.00     0.00   100.00     0.12    -0.02    -1.36     1.36    19.06    19.06     0.67    -0.66     0.00     0.37    -0.08     0.06  1057.71  1057.39
    20.00     0.00  -100.00     0.12     0.27    -1.36     1.36    19.06    19.06     0.67    -0.67     0.00    -0.36    -0.08     0.09  1057.71  1058.85
    25.00   100.00     0.00     0.01     0.16    -1.88     1.88    23.80    23.80     0.84    -0.84     0.37     0.01    -0.08     0.10  1138.24  1138.82
    25.00  -100.00     0.00     0.32     0.16    -1.88     1.88    23.79    23.80     0.84    -0.84    -0.35     0.01    -0.12     0.10  1140.22  1138.82
    25.00     0.00   100.00     0.16     0.01    -1.88     1.88    23.80    23.80     0.84    -0.84     0.01     0.37    -0.10     0.08  1138.82  1138.24
    25.00     0.00  -100.00     0.16     0.32    -1.88     1.88    23.80    23.79     0.84    -0.84     0.01    -0.35    -0.10     0.12  1138.82  1140.22
    30.00   100.00     0.00     0.05     0.21    -2.48     2.48    28.53    28.53     1.01    -1.02     0.37     0.01    -0.10     0.13  1222.41  1223.27
    30.00  -100.00     0.00     0.36     0.21    -2.48     2.48    28.52    28.53     1.02    -1.02    -0.35     0.01    -0.15     0.13  1224.94  1223.27
    30.00     0.00   100.00     0.21     0.05    -2.48     2.48    28.53    28.53     1.02    -1.01     0.01     0.37    -0.13     0.10  1223.27  1222.41
    30.00     0.00  -100.00     0.21     0.36    -2.48     2.48    28.53    28.52     1.02    -1.02     0.01    -0.35    -0.13     0.15  1223.27  1224.94
    35.00   100.00     0.00     0.09     0.25    -3.15     3.15    33.24    33.24     1.20    -1.20     0.37     0.01    -0.13     0.16  1309.87  1311.04
    35.00  -100.00     0.00     0.42     0.25    -3.15     3.15    33.23    33.24     1.20    -1.20    -0.34     0.01    -0.19     0.16  1313.01  1311.04
    35.00     0.00   100.00     0.25     0.09    -3.15     3.15    33.24    33.24     1.20    -1.20     0.01     0.37    -0.16     0.13  1311.04  1309.87
    35.00     0.00  -100.00     0.25     0.42    -3.15     3.15    33.24    33.23     1.20    -1.20     0.01    -0.34    -0.16     0.19  1311.04  1313.01
    40.00   100.00     0.00     0.13     0.30    -3.89     3.89    37.94    37.94     1.38    -1.39     0.37     0.02    -0.16     0.19  1400.55  1402.06
    40.00  -100.00     0.00     0.47     0.30    -3.89     3.89    37.93    37.94     1.39    -1.39    -0.33     0.02    -0.22     0.19  1404.35  1402.06
