
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.11     0.00     0.05     0.00    -0.02     0.00    -0.02     0.00     0.00     0.00     0.08     0.00   770.20   764.92
     0.00  -100.00     0.00     0.11     0.00    -0.05     0.00     0.02     0.00     0.02     0.00     0.00     0.00    -0.08     0.00   759.57   764.92
     0.00     0.00   100.00     0.00     0.11     0.00     0.05     0.00     0.02     0.00    -0.02     0.00     0.00     0.00     0.08   764.92   759.57
     0.00     0.00  -100.00     0.00    -0.11     0.00    -0.05     0.00    -0.02     0.00     0.02     0.00     0.00     0.00    -0.08   764.92   770.20
     5.00   100.00     0.00    -0.09     0.03    -0.18     0.23     4.76     4.78     0.14    -0.16     0.01     0.00     0.06     0.02   839.60   833.61
     5.00  -100.00     0.00     0.14     0.03    -0.28     0.23     4.80     4.78     0.18    -0.16    -0.01     0.00    -0.10     0.02   827.49   833.61
     5.00     0.00   100.00     0.03     0.14    -0.23     0.28     4.78     4.80     0.16    -0.18     0.00    -0.01    -0.02     0.10   833.61   827.49
     5.00     0.00  -100.00     0.03    -0.09    -0.23     0.18     4.78     4.76     0.16    -0.14     0.00     0.01    -0.02    -0.06   833.61   839.60
    10.00   100.00     0.00    -0.06     0.06    -0.48     0.53     9.53     9.55     0.31    -0.33     0.01     0.00     0.05     0.03   911.91   905.21
    10.00  -100.00     0.00     0.17     0.06    -0.58     0.53     9.57     9.55     0.34    -0.33    -0.01     0.00    -0.12     0.03   898.32   905.21
    10.00     0.00   100.00     0.06     0.17    -0.53     0.58     9.55     9.57     0.33    -0.34     0.00    -0.01    -0.03     0.12   905.21   898.32
    10.00     0.00  -100.00     0.06    -0.06    -0.53     0.48     9.55     9.53     0.33    -0.31     0.00     0.01    -0.03    -0.05   905.21   911.91
    15.00   100.00     0.00    -0.03     0.09    -0.86     0.91    14.29    14.31     0.48    -0.49     0.02     0.00     0.03     0.06   987.29   979.87
    15.00  -100.00     0.00     0.21     0.09    -0.96     0.91    14.34    14.31     0.51    -0.49    -0.01     0.00    -0.14     0.06   972.20   979.87
    15.00     0.00   100.00     0.09     0.21    -0.91     0.96    14.31    14.34     0.49    -0.51     0.00    -0.01    -0.06     0.14   979.87   972.20
    15.00     0.00  -100.00     0.09    -0.03    -0.91     0.86    14.31    14.29     0.49    -0.48     0.00     0.02    -0.06    -0.03   979.87   987.29
    20.00   100.00     0.00     0.00     0.12    -1.31     1.36    19.04    19.06     0.65    -0.67     0.03     0.00     0.00     0.08  1065.86  1057.71
    20.00  -100.00     0.00     0.25     0.12    -1.41     1.36    19.09    19.06     0.68    -0.67    -0.02     0.00    -0.16     0.08  1049.26  1057.71
    20.00     0.00   100.00     0.12     0.25    -1.36     1.41    19.06    19.09     0.67    -0.68     0.00    -0.02    -0.08     0.16  1057.71  1049.26
    20.00     0.00  -100.00     0.12     0.00    -1.36     1.31    19.06    19.04     0.67    -0.65     0.00     0.03    -0.08     0.00  1057.71  1065.86
    25.00   100.00     0.00     0.04     0.16    -1.83     1.88    23.77    23.80     0.82    -0.84     0.03     0.01    -0.02     0.10  1147.71  1138.82
    25.00  -100.00     0.00     0.29     0.16    -1.94     1.88    23.83    23.80     0.86    -0.84    -0.02     0.01    -0.19     0.10  1129.59  1138.82
    25.00     0.00   100.00     0.16     0.29    -1.88     1.94    23.80    23.83     0.84    -0.86     0.01    -0.02    -0.10     0.19  1138.82  1129.59
    25.00     0.00  -100.00     0.16     0.04    -1.88     1.83    23.80    23.77     0.84    -0.82     0.01     0.03    -0.10     0.02  1138.82  1147.71
    30.00   100.00     0.00     0.08     0.21    -2.43     2.48    28.50    28.53     1.00    -1.02     0.04     0.01    -0.05     0.13  1232.90  1223.27
    30.00  -100.00     0.00     0.34     0.21    -2.54     2.48    28.56    28.53     1.04    -1.02    -0.02     0.01    -0.21     0.13  1213.25  1223.27
    30.00     0.00   100.00     0.21     0.34    -2.48     2.54    28.53    28.56     1.02    -1.04     0.01    -0.02    -0.13     0.21  1223.27  1213.25
    30.00     0.00  -100.00     0.21     0.08    -2.48     2.43    28.53    28.50     1.02    -1.00     0.01     0.04    -0.13     0.05  1223.27  1232.90
    35.00   100.00     0.00     0.12     0.25    -3.09     3.15    33.21    33.24     1.18    -1.20     0.05     0.01    -0.07     0.16  1321.43  1311.04
    35.00  -100.00     0.00     0.39     0.25    -3.21     3.15    33.27    33.24     1.22    -1.20    -0.02     0.01    -0.25     0.16  1300.22  1311.04
    35.00     0.00   100.00     0.25     0.39    -3.15     3.21    33.24    33.27     1.20    -1.22     0.01    -0.02    -0.16     0.25  1311.04  1300.22
    35.00     0.00  -100.00     0.25     0.12    -3.15     3.09    33.24    33.21     1.20    -1.18     0.01     0.05    -0.16     0.07  1311.04  1321.43
    40.00   100.00     0.00     0.17     0.30    -3.84     3.89    37.91    37.94     1.37    -1.39     0.06     0.02    -0.10     0.19  1413.21  1402.06
    40.00  -100.00     0.00     0.44     0.30    -3.95     3.89    37.98    37.94     1.40    -1.39    -0.02     0.02    -0.28     0.19  1390.42  1402.06
    40.00     0.00   100.00     0.30     0.44    -3.89     3.95    37.94    37.98     1.39    -1.40     0.02    -0.02    -0.19     0.28  1402.06  1390.42
    40.00     0.00  -100.00     0.30     0.17    -3.89     3.84    37.94    37.91     1.39    -1.37     0.02     0.06    -0.19     0.10  1402.06  1413.21
    45.00   100.00     0.00     0.22     0.36    -4.65     4.70    42.60    42.63     1.56    -1.57     0.07     0.03    -0.14     0.23  1508.06  1496.13
    45.00  -100.00     0.00     0.50     0.36    -4.76     4.70    42.67    42.63     1.59    -1.57    -0.02     0.03    -0.31     0.23  1483.67  1496.13
    45.00     0.00   100.00     0.36     0.50    -4.70     4.76    42.63    42.67     1.57    -1.59     0.03    -0.02    -0.23     0.31  1496.13  1483.67
    45.00     0.00  -100.00     0.36     0.22    -4.70     4.65    42.63    42.60     1.57    -1.56     0.03     0.07    -0.23     0.14  1496.13  1508.06
    50.00   100.00     0.00     0.27     0.41    -5.53     5.59    47.28    47.31     1.75    -1.77     0.09     0.04    -0.17     0.26  1605.65  1592.94
    50.00  -100.00     0.00     0.56     0.41    -5.65     5.59    47.35    47.31     1.79    -1.77    -0.02     0.04    -0.35     0.26  1579.64  1592.94
    50.00     0.00   100.00     0.41     0.56    -5.59     5.65    47.31    47.35     1.77    -1.79     0.04    -0.02    -0.26     0.35  1592.94  1579.64
    50.00     0.00  -100.00     0.41     0.27    -5.59     5.53    47.31    47.28     1.77    -1.75     0.04     0.09    -0.26     0.17  1592.94  1605.65
    55.00   100.00     0.00     0.33     0.48    -6.49     6.55    51.94    51.98     1.95    -1.97     0.10     0.04    -0.21     0.30  1705.48  1691.95
